id,loc,build_type,damage_state,median,beta
331,low,S4M,extensive,0.31,0.64
332,low,S4M,complete,0.54,0.64
333,low,S4H,slight,0.12,0.64
334,low,S4H,moderate,0.17,0.64
335,low,S4H,extensive,0.33,0.64
336,low,S4H,complete,0.59,0.64
337,low,S5L,slight,0.13,0.64
338,low,S5L,moderate,0.17,0.64
339,low,S5L,extensive,0.28,0.64
340,low,S5L,complete,0.45,0.64
341,low,S5M,slight,0.11,0.64
342,low,S5M,moderate,0.18,0.64
343,low,S5M,extensive,0.34,0.64
344,low,S5M,complete,0.53,0.64
345,low,S5H,slight,0.1,0.64
346,low,S5H,moderate,0.18,0.64
347,low,S5H,extensive,0.35,0.64
348,low,S5H,complete,0.58,0.64
349,low,C1L,slight,0.12,0.64
350,low,C1L,moderate,0.15,0.64
351,low,C1L,extensive,0.27,0.64
352,low,C1L,complete,0.45,0.64
353,low,C1M,slight,0.12,0.64
354,low,C1M,moderate,0.17,0.64
355,low,C1M,extensive,0.32,0.64
356,low,C1M,complete,0.54,0.64
357,low,C1H,slight,0.1,0.64
358,low,C1H,moderate,0.15,0.64
359,low,C1H,extensive,0.27,0.64
360,low,C1H,complete,0.44,0.64
361,low,C2L,slight,0.14,0.64
362,low,C2L,moderate,0.19,0.64
363,low,C2L,extensive,0.3,0.64
364,low,C2L,complete,0.52,0.64
365,low,C2M,slight,0.12,0.64
366,low,C2M,moderate,0.19,0.64
367,low,C2M,extensive,0.38,0.64
368,low,C2M,complete,0.63,0.64
369,low,C2H,slight,0.11,0.64
370,low,C2H,moderate,0.19,0.64
371,low,C2H,extensive,0.38,0.64
372,low,C2H,complete,0.65,0.64
373,low,C3L,slight,0.12,0.64
374,low,C3L,moderate,0.17,0.64
375,low,C3L,extensive,0.26,0.64
376,low,C3L,complete,0.44,0.64
377,low,C3M,slight,0.11,0.64
378,low,C3M,moderate,0.17,0.64
379,low,C3M,extensive,0.32,0.64
380,low,C3M,complete,0.51,0.64
381,low,C3H,slight,0.09,0.64
382,low,C3H,moderate,0.16,0.64
383,low,C3H,extensive,0.33,0.64
384,low,C3H,complete,0.53,0.64
385,low,PC1,slight,0.13,0.64
386,low,PC1,moderate,0.17,0.64
387,low,PC1,extensive,0.25,0.64
388,low,PC1,complete,0.45,0.64
389,low,PC2L,slight,0.13,0.64
390,low,PC2L,moderate,0.15,0.64
391,low,PC2L,extensive,0.24,0.64
392,low,PC2L,complete,0.44,0.64
393,low,PC2M,slight,0.11,0.64
394,low,PC2M,moderate,0.16,0.64
395,low,PC2M,extensive,0.31,0.64
396,low,PC2M,complete,0.52,0.64
397,low,PC2H,slight,0.11,0.64
398,low,PC2H,moderate,0.16,0.64
399,low,PC2H,extensive,0.31,0.64
400,low,PC2H,complete,0.55,0.64
401,low,RM1L,slight,0.16,0.64
402,low,RM1L,moderate,0.2,0.64
403,low,RM1L,extensive,0.29,0.64
404,low,RM1L,complete,0.54,0.64
405,low,RM1M,slight,0.14,0.64
406,low,RM1M,moderate,0.19,0.64
407,low,RM1M,extensive,0.35,0.64
408,low,RM1M,complete,0.63,0.64
409,low,RM2L,slight,0.14,0.64
410,low,RM2L,moderate,0.18,0.64
411,low,RM2L,extensive,0.28,0.64
412,low,RM2L,complete,0.51,0.64
413,low,RM2M,slight,0.12,0.64
414,low,RM2M,moderate,0.17,0.64
415,low,RM2M,extensive,0.34,0.64
416,low,RM2M,complete,0.6,0.64
417,low,RM2H,slight,0.11,0.64
418,low,RM2H,moderate,0.17,0.64
